timestamp,open,high,low,close,volume
1758279060,6694.75,6695.25,6694,6694.25,204
1758279240,6694,6694.5,6693.25,6693.25,284
1758279420,6693.25,6696.75,6692.5,6696.25,1218
1758279600,6696,6699,6696,6697.5,1027
1758279780,6697.5,6698,6696.5,6696.75,555
1758279960,6696.5,6697.75,6696,6697.25,340
1758280140,6697.5,6697.5,6693.75,6693.75,1044
1758280320,6693.75,6695.25,6693.5,6694.75,316
1758280500,6694.75,6695.25,6694.5,6695,190
1758280680,6695.25,6696.25,6695.25,6696,420
1758280860,6695.75,6696,6694.75,6696,292
1758281040,6696,6696.5,6694.75,6695.75,310
1758281220,6695.75,6697.5,6695.75,6697.25,796
1758281400,6697,6697,6695.5,6696.25,413
1758281580,6696.25,6698.25,6696,6698,535
1758281760,6698.25,6698.75,6697.5,6698,331
1758281940,6698,6698.5,6698,6698,433
1758282120,6697.75,6698,6696.5,6696.5,356
1758282300,6696.5,6698.5,6696,6697.75,470
1758282480,6697.75,6698.75,6697.25,6698.5,675
1758282660,6698.5,6700,6698.5,6699.75,607
1758282840,6699.5,6700,6699,6699.5,602
1758283020,6699.5,6699.75,6699,6699.75,473
1758283200,6699.75,6701.5,6698.75,6701.25,1201
1758283380,6701,6702.5,6700.75,6702,1045
1758283560,6702.25,6702.25,6700.75,6701,925
1758283740,6700.75,6701.75,6700.5,6701.75,605
1758283920,6701.5,6702,6701.25,6701.75,866
1758284100,6701.75,6701.75,6701,6701.75,587
1758284280,6701.75,6702,6701.25,6701.5,887
1758284460,6701.25,6702,6700.75,6701.5,702
1758284640,6701.25,6703,6701.25,6702,963
1758284820,6702,6705.5,6702,6704.75,1279
1758285000,6705,6705.5,6703.5,6705,1016
1758285180,6705,6705.25,6702.25,6703.5,1551
1758285360,6703.25,6705,6702.5,6704.25,1085
1758285540,6704,6705.25,6702.75,6703,1148
1758285720,6703.25,6703.75,6702.25,6703,1191
1758285900,6703,6704.75,6702.75,6704.5,1011
1758286080,6704.5,6706.25,6704,6704.25,1679
1758286260,6704.25,6705.25,6703.25,6703.75,1431
1758286440,6704,6704,6701.5,6702.25,1299
1758286620,6702.5,6703.25,6702,6702.5,839
1758286800,6702.75,6704.25,6701.75,6704.25,2251
1758286980,6704.25,6705.5,6703.5,6704.75,1534
1758287160,6705,6706.5,6704.75,6705.75,1144
1758287340,6706,6707.25,6705.75,6707.25,1665
1758287520,6707,6708,6706.75,6707.25,1878
1758287700,6707.25,6709.25,6707.25,6708.75,2707
1758287880,6708.75,6709.75,6707.5,6709,2165
1758288060,6709.25,6710.75,6708.75,6709.25,2033
